VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,12/1/15 0:12,12/1/15 0:18,N,1,-73.84468079,40.72150803,-73.83633423,40.70887756,1,1.27,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,12/1/15 0:48,12/1/15 0:59,N,1,-73.80702972,40.69965744,-73.86367035,40.69114304,1,3.57,12.5,0.5,0.5,2,0,,0.3,15.8,1,1
2,12/1/15 0:06,12/1/15 0:20,N,1,-73.96181488,40.80564117,-73.92597961,40.82412338,2,3.51,13.5,0.5,0.5,4.44,0,,0.3,19.24,1,1
2,12/1/15 0:43,12/1/15 0:59,N,1,-73.94522095,40.80838394,-73.9595871,40.80135727,1,2.43,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1
2,12/1/15 0:04,12/1/15 0:09,N,1,-73.93901825,40.80554199,-73.94397736,40.81373978,5,0.89,5.5,0.5,0.5,1,0,,0.3,7.8,1,1
2,12/1/15 0:38,12/1/15 0:43,N,1,-73.9415741,40.80614853,-73.95343781,40.80942917,5,0.74,5.5,0.5,0.5,2.04,0,,0.3,8.84,1,1
2,12/1/15 0:56,12/1/15 1:09,N,1,-73.94965363,40.80223083,-73.97869873,40.74599838,5,4.56,15,0.5,0.5,0,0,,0.3,16.3,2,1
2,12/1/15 0:00,12/1/15 0:13,N,1,-73.96220398,40.71608353,-73.99758148,40.67876816,1,5.43,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1
